,Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Vol._sqrt,Tendencia,Target_Tendencia_Amanha,Tendencia_Dia_Anterior,Amplitude_Dia,Variacao_Abertura_Fechamento,Media_Movel_5_dias,Media_Movel_20_dias,Media_Movel_50_dias,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Middle,ATR,Diff_Normalizada_MM20,Variacao_Pct_Volume,Dia_da_Semana,Mes,Ano,Ultimo_Fechamento_lag_1_dia,Variacao_Pct_lag_1_dia,Volume_lag_1_dia,Amplitude_Dia_lag_1_dia,Variacao_Abertura_Fechamento_lag_1_dia,Ultimo_Fechamento_lag_2_dias,Variacao_Pct_lag_2_dias,Volume_lag_2_dias,Amplitude_Dia_lag_2_dias,Variacao_Abertura_Fechamento_lag_2_dias,Ultimo_Fechamento_lag_3_dias,Variacao_Pct_lag_3_dias,Volume_lag_3_dias,Amplitude_Dia_lag_3_dias,Variacao_Abertura_Fechamento_lag_3_dias,Ultimo_Fechamento_lag_5_dias,Variacao_Pct_lag_5_dias,Volume_lag_5_dias,Amplitude_Dia_lag_5_dias,Variacao_Abertura_Fechamento_lag_5_dias
702,2023-01-11,112.517,110.816,112.552,110.752,14460000.0,0.015300000000000001,3802.630668366309,Alta,Baixa,Alta,1.8000000000000114,1.7009999999999934,109.81379999999999,107.44300000000001,109.63474000000001,61.13035719745085,0.2616249203166632,-0.43356217702022115,112.65552096398656,102.23047903601346,107.44300000000001,2.3259618582589816,0.047225040253901916,0.05547445255474459,2,1,2023,110.817,0.0155,13700000.0,2.7150000000000034,1.6879999999999882,109.13,0.0015,12050000.0,1.804000000000002,0.16599999999999682,108.964,0.0123,12630000.0,1.791000000000011,1.3220000000000027,105.334,0.011200000000000002,14450000.0,1.711999999999989,1.1670000000000016
701,2023-01-12,111.85,112.516,113.129,110.982,19840000.0,-0.0059,4454.211490264018,Baixa,Baixa,Alta,2.1470000000000056,-0.666000000000011,110.6556,107.84819999999999,109.551,58.9017598394549,0.4835599546872089,-0.2501377506787351,113.10789529915938,102.5885047008406,107.84819999999999,2.31317886838334,0.037105858048627635,0.37206085753803597,3,1,2023,112.517,0.015300000000000001,14460000.0,1.8000000000000114,1.7009999999999934,110.817,0.0155,13700000.0,2.7150000000000034,1.6879999999999882,109.13,0.0015,12050000.0,1.804000000000002,0.16599999999999682,107.641,0.0219,15510000.0,2.4099999999999966,2.305000000000007
700,2023-01-13,110.916,111.843,111.847,110.428,15940000.0,-0.0084,3992.492955535426,Baixa,Baixa,Baixa,1.418999999999997,-0.9270000000000067,111.046,108.20710000000001,109.43073999999999,55.832273423780464,0.5774229023600128,-0.08462562007098555,113.27194830572444,103.14225169427559,108.20710000000001,2.249523234927387,0.02503440162429254,-0.19657258064516125,4,1,2023,111.85,-0.0059,19840000.0,2.1470000000000056,-0.666000000000011,112.517,0.015300000000000001,14460000.0,1.8000000000000114,1.7009999999999934,110.817,0.0155,13700000.0,2.7150000000000034,1.6879999999999882,108.964,0.0123,12630000.0,1.791000000000011,1.3220000000000027
699,2023-01-16,109.213,110.908,110.908,108.753,12510000.0,-0.0154,3536.9478367654788,Baixa,Alta,Baixa,2.155000000000001,-1.6950000000000074,111.0626,108.52494999999999,109.27708000000001,50.64946925931613,0.5085300789998399,0.034005519743179544,112.96613076529198,104.083769234708,108.52494999999999,2.2433430038611446,0.006340016742693769,-0.2151819322459222,0,1,2023,110.916,-0.0084,15940000.0,1.418999999999997,-0.9270000000000067,111.85,-0.0059,19840000.0,2.1470000000000056,-0.666000000000011,112.517,0.015300000000000001,14460000.0,1.8000000000000114,1.7009999999999934,109.13,0.0015,12050000.0,1.804000000000002,0.16599999999999682
698,2023-01-17,111.439,109.214,111.577,109.214,14360000.0,0.0204,3789.4590642992835,Alta,Alta,Baixa,2.3629999999999995,2.2249999999999943,111.18699999999998,108.85990000000001,109.14276,56.352829193978536,0.6263316552390279,0.1524707468423492,113.11530700286116,104.60449299713886,108.85990000000001,2.251961360728206,0.02369191961410935,0.14788169464428447,1,1,2023,109.213,-0.0154,12510000.0,2.155000000000001,-1.6950000000000074,110.916,-0.0084,15940000.0,1.418999999999997,-0.9270000000000067,111.85,-0.0059,19840000.0,2.1470000000000056,-0.666000000000011,110.817,0.0155,13700000.0,2.7150000000000034,1.6879999999999882
697,2023-01-18,112.228,111.442,113.306,111.441,14130000.0,0.0070999999999999995,3758.9892258425,Alta,Alta,Alta,1.8649999999999949,0.7860000000000014,111.1292,109.12809999999999,109.08048,58.19692592937692,0.7744288257370755,0.2768623626212945,113.52046382372859,104.73573617627139,109.12809999999999,2.2244641206761915,0.02840606589870075,-0.016016713091921986,2,1,2023,111.439,0.0204,14360000.0,2.3629999999999995,2.2249999999999943,109.213,-0.0154,12510000.0,2.155000000000001,-1.6950000000000074,110.916,-0.0084,15940000.0,1.418999999999997,-0.9270000000000067,112.517,0.015300000000000001,14460000.0,1.8000000000000114,1.7009999999999934
696,2023-01-19,112.922,112.219,113.172,111.307,15590000.0,0.0062,3948.4174044799265,Alta,Baixa,Alta,1.8649999999999949,0.703000000000003,111.3436,109.40254999999999,109.01572,59.80557236216851,0.9369957960619217,0.40888904930941994,114.01726899361161,104.78783100638837,109.40254999999999,2.198788112056463,0.03216972547714844,0.10332625619249813,3,1,2023,112.228,0.0070999999999999995,14130000.0,1.8649999999999949,0.7860000000000014,111.439,0.0204,14360000.0,2.3629999999999995,2.2249999999999943,109.213,-0.0154,12510000.0,2.155000000000001,-1.6950000000000074,111.85,-0.0059,19840000.0,2.1470000000000056,-0.666000000000011
695,2023-01-20,112.041,112.922,113.025,111.735,15440000.0,-0.0078000000000000005,3929.3765408777,Baixa,Baixa,Alta,1.2900000000000063,-0.8810000000000002,111.56859999999999,109.627,108.98494,56.816555251684825,0.9834058634553315,0.5237924121386023,114.29620729888916,104.95779270111083,109.627,2.133874675481002,0.0220201227799721,-0.009621552277100709,4,1,2023,112.922,0.0062,15590000.0,1.8649999999999949,0.703000000000003,112.228,0.0070999999999999995,14130000.0,1.8649999999999949,0.7860000000000014,111.439,0.0204,14360000.0,2.3629999999999995,2.2249999999999943,110.916,-0.0084,15940000.0,1.418999999999997,-0.9270000000000067
694,2023-01-23,111.737,112.041,113.061,111.542,13700000.0,-0.0027,3701.3511046643494,Baixa,Alta,Baixa,1.5190000000000055,-0.30400000000000205,112.07339999999999,109.72895000000001,109.02418,55.78057355126607,0.9843094106899883,0.6158958118488795,114.48808157939554,104.96981842060448,109.72895000000001,2.0899550558037876,0.018300093093025886,-0.11269430051813467,0,1,2023,112.041,-0.0078000000000000005,15440000.0,1.2900000000000063,-0.8810000000000002,112.922,0.0062,15590000.0,1.8649999999999949,0.703000000000003,112.228,0.0070999999999999995,14130000.0,1.8649999999999949,0.7860000000000014,109.213,-0.0154,12510000.0,2.155000000000001,-1.6950000000000074
693,2023-01-24,113.028,111.746,113.04,111.669,11550000.0,0.0116,3398.529093593286,Alta,Alta,Baixa,1.3710000000000093,1.2820000000000107,112.3912,109.94344999999998,109.03967999999999,59.18420687456246,1.0767858717918983,0.7080738238374833,114.88770345123,104.99919654876997,109.94344999999998,2.0386011232463748,0.02805578686133664,-0.15693430656934304,1,1,2023,111.737,-0.0027,13700000.0,1.5190000000000055,-0.30400000000000205,112.041,-0.0078000000000000005,15440000.0,1.2900000000000063,-0.8810000000000002,112.922,0.0062,15590000.0,1.8649999999999949,0.703000000000003,111.439,0.0204,14360000.0,2.3629999999999995,2.2249999999999943
